Company;ISIN;Market;Compartment;Country of Incorporation;Date of eligibility declaration by the Issuer;Updated_Status
TRONICS ;FR0004175099;Euronext GROWTH*;;France;13/02/2015;
TXCELL;FR0010127662;EURONEXT;C;France;04/04/2018;Radiation - Delisted 29/11/2018
U10 CORP;FR0000079147;Euronext GROWTH*;;France;20/05/2016;
UCAR;FR0011070457;Euronext GROWTH*;;France;13/05/2016;
UMANIS;FR0013263878;Euronext GROWTH*;;France;04/04/2017;
UNITI;FR0012709160 ;Euronext GROWTH*;;France;23/07/2019;
UPERGY;FR0010337865;Euronext GROWTH*;;France;25/03/2015;
UV GERMI;FR0011898584;Euronext GROWTH*;;France;21/07/2017;
VALBIOTIS;FR0013254851;Euronext GROWTH*;;France;07/06/2017;
VALNEVA;FR0004056851;EURONEXT;B;France;20/03/2015;
VALTECH;FR0011505163;EURONEXT;C;France;19/03/2015;Radiation-Delisted  15/02/2017
VELCAN HOLDINGS;FR0010245803;Euronext GROWTH*;;France;29/05/2015;
VENTE-UNIQUE.COM;FR0010766667;Euronext GROWTH*;;France;08/04/2019;
VERIMATRIX (ex-INSIDE SECURE);FR0010291245;EURONEXT;C;France;26/02/2015;
VERNEY-CARRON ;FR0006174496;Euronext Access**;;France;05/02/2019;
VETOQUINOL;FR0004186856;EURONEXT;B;France;15/03/2018;
VEXIM;FR0011072602;Euronext GROWTH*;;France;30/03/2017;Radiation - delisted 24/04/2018
VIADEO;FR0010325241;EURONEXT;C;France;21/06/2016;Radiation - delisted 18/07/2017
VIRBAC;FR0000031577;EURONEXT;A;France;24/03/2015;
VISIATIV;FR0004029478;Euronext GROWTH*;;France;27/04/2017;
VISIOMED GROUP ;FR0011067669;Euronext GROWTH*;;France;07/04/2017;
VOGO; FR0011532225;Euronext GROWTH*;;France;30/11/2018;
VOLUNTIS;FR0004183960;EURONEXT;C;France;18/11/2019;
VOYAGEURS DU MONDE;FR0004045847;Euronext GROWTH*;;France;06/03/2018;
VRANKEN-POMMERY;FR0000062796;EURONEXT;B;France;16/01/2017;
WALLIX;FR0010131409;Euronext GROWTH*;;France;22/10/2018;
WAVESTONE (ex SOLUCOM);FR0013357621;EURONEXT;B;France;18/04/2018;
WE.CONNECT;FR0013079092;Euronext GROWTH*;;France;13/10/2017;
WEACCESS;FR0010688465;Euronext Access**;;France;29/03/2018;
WEBORAMA;FR0010337444;Euronext GROWTH*;;France;28/03/2018;Radiation - delisted 24/02/2020
WITBE;FR0013143872;Euronext GROWTH*;;France;18/04/2016;
XILAM;FR0004034072;EURONEXT;B;France;04/11/2015;
YMAGIS;FR0011471291;EURONEXT;C;France;14/01/2020;
