ISIN;Company;ticker
FR0010038570;Raphael Michel S A;MLRAM
FR0010050773;A Toute Vitesse;MLATV
FR0010071530;Ferco Dev.;MLFER
FR0010086371;Imalliance;MLIML
FR0010106039;Body One;MLONE
FR0010108688;Global Interface;MLGLO
FR0010157115;Euroland Corporate;MLERO
FR0010176115;Olmix;MLOLM
FR0010312181;Hopening;MLHPE
FR0010328302;Made;MLMAD
FR0010358507;Newsinvest;MLNEI
FR0010436170;Batla Minerals;MLBAT
FR0010447086;Cheops Technology;MLCHE
FR0010480517;Financiere Croissance Inv.;MLFCI
FR0010480533;Solia;MLSOL
FR0010487272;Finaxo;MLFXO
FR0010492181;Metalliance;MLETA
FR0010500363;Miguet et Associes Regr.;MLNMA
FR0010518605;Silkan Rt;MLARI
FR0010679365;Silc;MLSIL
FR0010688465;Weaccess Group;MLWEA
FR0010717579;Cecurity;MLCEC
FR0010762740;Acep France;MLACP
FR0010768770;Weya;MLWEY
FR0010772426;Arthur Maury;MLAMY
FR0010776658;Debflex;MLDEX
FR0010777680;Ipernity;MLIPY
FR0010781377;Caire;MLAAE
FR0010823724;France Tourisme;MLFTI
FR0010827741;Magillem Design Services;MLMGL
FR0010882886;Monfinancier;MLMON
FR0010921163;Leaderlease;MLLEA
FR0010923433;Artsnet;MLART
FR0010945733;EES;MLEES
FR0010959684;Colipays;MLCLP
FR0010972091;Scemi;MLCMI
FR0010976746;MNR Group;MLMNR
FR0010979377;Activium Group;MLACT
FR0011040690;Tpsh;MLPSH
FR0011076595;Televista;MLVST
FR0011131788;Smalto;MLSML
FR0011158823;Infoclip;MLIFC
FR0011421817;Novaday;MLLED
FR0011442235;Jane France;MLJAN
FR0011605617;Fonciere Vindi;MLVIN
FR0011612837;Eon Motors Group;MLEMG
FR0011776889;Umalis Group;MLUMG
FR0011896463;Audience Labs;MLAUD
FR0011908045;AG3i;MLAGI
FR0012060036;Universal System Group;MLUSG
FR0012222149;DataHertz;MLDHZ
FR0012300424;Franck Deville;MLFDV
FR0012336675;D2L Group;MLGEL
FR0012336691;Home Concept France;MLHCF
FR0012384907;CIOA;MLCIO
FR0012395457;AS Rapido Pret;ML350
FR0012735355;Point Parfums;MLPPF
FR0012807352;Compagnie Coloniale;MLCCL
FR0012833770;Valoneo;MLVAL
FR0012880482;Integral;MLITG
FR0012968485;Ashler et Manson;MLAEM
FR0012990968;Mulann;MLMUL
FR0012991040;Cie Miniere Grecemar;MLCMG
FR0013063559;Steam France;MLSTM
FR0013072741;O Sorbet d'Amour;MLOSA
FR0013110053;Brico-distribution;MLBRI
FR0013155975;La savonnerie de Nyons;MLSDN
FR0013180189;Un toit pour toi;MLUTP
FR0013182235;Aroma Celte;MLARO
FR0013230067;Multimicrocloud;MLMMC
FR0013251584;Health;MLAHC
FR0013253812;Alveen;MLALV
FR0013266772;One Experience;MLOEX
FR0013285103;Air Marine;MLAIM
FR0013310281;Octopus Robots;MLOCT
FR0013340973;Blue Shark Power System;MLBSP
FR0013344223;Nature et Logis;MLNAT
FR0013419876;Kumulus Vape;MLVAP
GB00B8GJBS16;Sumo Resources;MLSUM
GB00B92JR174;Microskin Plc;MLSKN
HK0000038429;Lionax;MLION
HK0000038783;Easson Telecom;MLEAS
HK0000041928;Vestasia Limited;MLVES
HK0000043510;China Super Power;MLCSP
HK0000058161;China Treasure Mine;MLTMT
IT0004999758;Essere Benessere;MLEBX
IT0005071664;Hightel Towers;MLHTT
IT0005072035;Luigi Botto;MLLB
IT0005072167;Sintesie;MLSNT
IT0005072811;Semplicemente;MLSMP
IT0005154635;DWC 3.0;MLDWC
IT0005324105;Media Lab;MLLAB
IT0005336521;Italy Innovazioni;MLITN
IT0005391161;Innovative Rfk;MLIRF
LU0881232630;Dynex Energy;MLDYX
LU1179353617;Mandalore Holding;MLMHO
LU1840650458;Guandao Puer Inves;MLGDI
NL0010273694;Amatheon Agri;MLAAH
NL0010623518;Sequa Petroleum;MLSEQ
NL0012650535;Parx Plastics;MLPRX
PTAZR0AM0006;Azorean Aquatic Technologies SA;MLAAT
PTGVE1AE0009;Gentlemen’s Equity SA;MLGEQ
SE0007045380;Design Your Home;MLDYH
ZAE000058723;DRDGold;MLDUR
ZM0000000037;Zambia Cons. Cat. B;MLZAM
BE0160342011;Coil;ALCOI
BE0974284169;KKO International;ALKKO
BE0974299316;Invibes Advertising;ALINV
BE0974302342;Pharmasimple;ALPHS
BE0974334667;Audiovalley;ALAVY
CA4433003064;H20 Innovation;ALHEO
CY0104972217;Primecity;ALPCI
ES0105089009;Lleida.net;ALLLN
ES0105118006;Quadpack;ALQP
ES0109429037;Antevenio;ALANT
FR0000033599;Lexibook Linguist.;ALLEX
FR0000033888;Gevelot;ALGEV
FR0000035305;Bd Multi Media;ALBDM
FR0000035818;Esker;ALESK
FR0000037640;Rougier S.A.;ALRGR
FR0000044810;Europlasma;ALEUP
FR0000044943;Logic Instrument;ALLOG
FR0000045122;Entreprendre;ALENR
FR0000053076;Ada;ALADA
FR0000054132;Delfingen;ALDEL
FR0000054421;Bourrelier Group;ALBOU
FR0000054652;Ales Groupe;ALPHY
FR0000060840;Devernois;ALDEV
FR0000061244;Mecelec;ALMEC
FR0000061582;SI Participations;ALSIP
FR0000061608;Piscines Desjoyaux;ALPDX
FR0000062184;Idsud;ALIDS
FR0000064529;Nsc Groupe;ALNSC
FR0000066441;Poujoulat;ALPJT
FR0000066540;Herige;ALHRG
FR0000066961;Bernard Loiseau;ALDBL
FR0000072993;Makheia Group;ALMAK
FR0000073728;Serma Technologies;ALSER
FR0000074775;Stradim Espac.Fin.;ALSAS
FR0000075442;Groupe LDLC;ALLDL
FR0000075673;Le Tanneur;LTAN
FR0000077562;Hiolle Industries;ALHIO
FR0000079147;U10 Corp.;ALU10
FR0000079683;Artefact;ALATF
FR0000124414;Groupe Gascogne;ALBI
FR0000185423;Damartex;ALDAR
FR0000185621;Keyyo;ALKEY
FR0004022754;Dolphin Integrat.;ALDOL
FR0004027068;Lanson-BCC;ALLAN
FR0004029478;Visiativ;ALVIV
FR0004030708;Encres Dubuit;ALDUB
FR0004032746;Neovacs;ALNEV
FR0004034593;Fashion B Air;ALFBA
FR0004043487;Traqueur;ALTRA
FR0004044600;Prismaflex Intl;ALPRI
FR0004045847;Voyageurs du monde;ALVDM
FR0004053510;Genoway;ALGEN
FR0004058949;Microwave Vision;ALMIC
FR0004065639;NSE;ALNSE
FR0004152882;Clasquin;ALCLA
FR0004153930;Hybrigenics;ALHYG
FR0004155240;Vergnet;ALVER
FR0004155687;Mastrad;ALMAS
FR0004166197;Evolis;ALTVO
FR0004171346;Nextedia;ALNXT
FR0004172450;Mint;ALBUD
FR0004174233;Bilendi;ALBLD
FR0004175099;Tronics Microsystems;ALTRO
FR0004176535;Astellia;ALAST
FR0004178572;Medicrea;ALMED
FR0004187367;Freelance.com;ALFRE
FR0004197747;Theradiag;ALTER
FR0005854700;I2S;ALI2S
FR0007080254;Les Hotels Baverez;ALLHB
FR0010082305;Ivalis;ALIVA
FR0010120402;Theraclion;ALTHE
FR0010131409;Wallix;ALLIX
FR0010169920;Predilife;ALPRE
FR0010202606;Sidetrade;ALBFR
FR0010204453;MG International;ALMGI
FR0010207795;Harvest;ALHVS
FR0010211037;Planet;ALPLA
FR0010221069;FILAE;ALFIL
FR0010231860;O2i;ALODI
FR0010245803;Velcan;ALVEL
FR0010246322;Easyvista;ALEZV
FR0010278762;Envea;ALTEV
FR0010285965;1000Mercis;ALMIL
FR0010304402;Millet Innovation;ALINN
FR0010313486;Prodware;ALPRO
FR0010326090;Vialife;ALVIA
FR0010330613;Ober;ALOBR
FR0010337444;Weborama;ALWEB
FR0010337865;Upergy;ALUPG
FR0010340711;Aquila;ALAQU
FR0010342329;Gaussin;ALGAU
FR0010343186;Heurtey Petrochem;ALHPC
FR0010353888;MGI Digital Graphic;ALMDG
FR0010377127;Dietswell Engineering;ALDIE
FR0010383877;Tti;ALTTI
FR0010396309;Hitechpros;ALHIT
FR0010397232;Novacyt;ALNOV
FR0010397901;Trilogiq;ALTRI
FR0010404368;Dlsi;ALDLS
FR0010424697;Entreparticuliers.com;ALENT
FR0010425595;Cellectis;ALCLS
FR0010436584;DNXCorp;ALDNX
FR0010446765;HolosFind;ALHOL
FR0010452474;Eurogerm;ALGEM
FR0010457531;Adthink Media;ALADM
FR0010458729;Implanet;ALIMP
FR0010465534;Eo2;ALEO2
FR0010485268;Fountaine Pajot;ALFPC
FR0010490961;Groupimo;ALIMO
FR0010493510;Acheter-Louer;ALALO
FR0010523167;Roctool;ALROC
FR0010528059;Streamwide;ALSTW
FR0010554113;Emova Group;ALEMV
FR0010641449;AgroGeneration;ALAGR
FR0010654087;Txcom;ALTXC
FR0010688440;Wedia;ALWED
FR0010722819;Kalray;ALKAL
FR0010766667;Vente Unique;ALVU
FR0010776617;Sapmer;ALMER
FR0010785790;Plant Advanced Technologies;ALPAT
FR0010795476;A2micile Europe;ALA2M
FR0010812230;Madvertise;ALMNG
FR0010820274;Reworld Media;ALREW
FR0010844001;Eurasia Groupe;ALEUA
FR0010879056;Deinove;ALDEI
FR0010889386;Qwamplify;ALQWA
FR0010907956;Carmat;ALCAR
FR0010908723;Integragen;ALINT
FR0011005933;Biosynex;ALBIO
FR0011033083;Moulinvest;ALMOU
FR0011038348;Actiplay;ALACT
FR0011041011;Bluelinea;ALBLU
FR0011049824;Median Technologies;ALMDT
FR0011052257;Global Bioenergies;ALGBE
FR0011053636;The Blockchain GP;ALTBG
FR0011067669;Visiomed;ALVMG
FR0011070457;Ucar;ALUCR
FR0011071570;Cogra 48;ALCOG
FR0011072602;Vexim;ALVXM
FR0011179886;Intrasense;ALINS
FR0011191287;Pharnext;ALPHA
FR0011208693;Gold by Gold;ALGLD
FR0011217710;Methanor;ALMET
FR0011289198;Global Ecopower;ALGEP
FR0011398874;Spineway;ALSPW
FR0011462803;Gaussin BSAR;GAUBS
FR0011464452;Spineguard;ALSGD
FR0011490648;Ecoslops;ALESA
FR0011511971;I.Ceram;ALICR
FR0011522168;Delta Drone;ALDR
FR0011532225;Vogo;ALVGO
FR0011584549;Mnd;ALMND
FR0011636083;Neolife;ALNLF
FR0011648716;Carbios;ALCRB
FR0011648971;Quantum Genomics;ALQGC
FR0011651819;Technofirst;ALFST
FR0011716265;Crossject;ALCJ
FR0011766229;Oncodesign;ALONC
FR0011858190;Realites;ALREA
FR0011884378;Lucibel;ALUCI
FR0011898584;Uv Germi;ALUVI
FR0011910652;Anevia;ALANV
FR0011915339;Enertime;ALENE
FR0011928407;O2i BSAAR 2019;ODIBS
FR0012160661;Europlasma BSB;EURBT
FR0012407096;Oceasoft;ALOCA
FR0012419307;Focus Home Interactive;ALFOC
FR0012596468;Sensorion;ALSEN
FR0012709160;Uniti;ALUNT
FR0012788065;Biocorp;ALCOR
FR0012816825;Biophytis;ALBPS
FR0012819381;Groupe Guillin;ALGIL
FR0013015583;Poulaillon;ALPOU
FR0013053535;Miliboo;ALMLB
FR0013060100;Immersion;ALIMR
FR0013066750;DBT;ALDBT
FR0013079092;We.Connect;ALWEC
FR0013088606;Drone Volt;ALDRV
FR0013143872;Witbe;ALWIT
FR0013156007;Kerlink;ALKLK
FR0013178712;Cerinnov group;ALPCV
FR0013186061;Gaussin BSA;GAUBT
FR0013204070;Groupe Parot;ALPAR
FR0013204351;Cybergun;ALCYB
FR0013219367;Horizontal Software;ALHSW
FR0013220530;Cogra 48 BSAR;COGBS
FR0013231180;Osmozis;ALOSM
FR0013240934;Eurobio-Scientific;ALERS
FR0013245123;Emova BS;ALEBS
FR0013247228;Adomos BS;ALABS
FR0013247244;Adomos;ALADO
FR0013254851;Valbiotis;ALVAL
FR0013256518;Eurofins Cerep;ALECR
FR0013257409;Cofidur;ALCOF
FR0013260973;Theradiag BSAR;ALTBS
FR0013263878;Umanis;ALUMS
FR0013268042;O2i BSA;O2IBS
FR0013268091;Anevia BS;ANVBS
FR0013270626;M2I;ALMII
FR0013274545;Quangen BSA27JAN20;QGCBT
FR0013284627;Adeunis;ALARF
FR0013286259;Theranexus;ALTHX
FR0013297165;Cesar;ALCES
FR0013318052;Ordissimo;ALORD
FR0013328184;Oxatis;ALOXA
FR0013330792;Enensys Technologies;ALNN6
FR0013331212;Dontnod Entertainment;ALDNE
FR0013345493;Bio UV Group;ALTUV
FR0013379484;Solutions 30;ALS30
FR0013384369;Baikowski;ALBKK
FR0013398997;Arcure;ALCUR
FR0013400835;Mare Nostrum;ALMAR
FR0013400983;Delta Drone BSA J;ALDSJ
FR0013410370;Auplata Mining Gr;ALAMG
FR0013429404;Groupe Tera;ALGTR
FR0013451044;Hoffmann Green Cement Tech.;ALHGR
FR0013452281;Agripower;ALAGP
FR0013462231;Munic;ALMUN
FR0013467123;Safe Orthopaedics;ALSAF
FR0013479730;Paulic Meunerie;ALPAU
GB00B2R1Q018;Ospreyfranck;ALOSP
IT0004615396;Methorios Capital;ALMTH
IT0005119109;Mybest Group;ALMBG
IT0005351504;Ediliziacrobatica;ALEAC
IT0005353484;Seif SPA;ALSEI
IT0005380438;Media Maker SPA;ALKER
NL0012044762;Noxxon;ALNOX
NL0012191662;La Perla Fashion Holding;ALPER
